;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67
31;66;77;42;30;61;59;37;47;41;32;67;50;67;69;46;59;64;42;76;72;68;24;72;57;30;33;41;67;73;70;12;7;7;7;8;32;187,96;179;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
32;70;70;62;63;60;77;62;75;66;49;74;75;73;69;76;68;69;66;51;61;63;61;56;64;57;72;48;63;64;61;8;14;15;11;9;20;182,88;159;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
33;70;73;61;62;59;76;61;76;65;48;73;77;75;73;77;69;69;65;55;71;64;60;55;63;56;71;47;68;63;60;7;13;14;10;8;29;180,34;174;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
34;64;70;35;30;56;57;32;36;27;30;33;52;54;49;47;56;25;41;33;52;95;27;49;59;28;31;47;65;71;66;9;11;13;12;15;23;200,66;212;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
35;72;73;67;70;50;71;46;74;55;53;59;73;84;88;74;62;62;71;71;77;67;53;64;44;68;64;53;42;47;43;12;15;14;11;6;28;182,88;161;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
36;72;76;67;70;50;71;46;74;55;53;59;73;84;88;74;62;62;71;71;77;67;53;64;44;68;64;53;42;47;43;12;15;14;11;6;26;177,8;157;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
37;72;73;69;72;64;69;63;76;69;49;64;73;85;84;78;65;74;76;71;72;70;70;68;26;71;74;52;20;29;27;11;16;13;12;16;32;182,88;157;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
38;69;73;67;68;67;69;56;71;68;48;63;70;81;81;77;71;74;71;75;70;68;69;62;27;57;67;51;25;25;25;10;15;12;11;15;26;198,12;174;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
39;75;75;75;50;66;78;65;71;68;57;74;74;79;79;79;76;72;71;76;69;75;64;73;77;68;57;50;70;75;74;12;15;10;11;14;26;182,88;150;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
40;74;74;74;49;65;77;64;78;71;56;73;76;84;87;79;75;72;73;76;76;79;68;79;76;67;56;49;66;72;70;11;14;9;10;13;25;172,72;154;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
